FAC_ID,FAC_NAME,OP_BA_ID,OPERATOR,SUB_CODE,FAC_SUB_TY,LIC_NUMBER,LIC_TYPE,EDCT_TYPE,EDCT_DESCR,LIC_BA_ID,LICENSEE,FAC_STATUS,LOC_SOURCE,icon_url
ABBT0044271,Pc Swan Hill 12-31,A7L1,Razor Energy Corp.,"311",Crude Oil Single-Well Battery,"28301",F,"320",Oil Single Bty <1t/d,A7L1,Razor Energy Corp.,Suspended,Facility Licence,./0.png
ABBT0046304,Petro Canada Swan Hills 10-28,A7L1,Razor Energy Corp.,"311",Crude Oil Single-Well Battery,"14644",F,"320",Oil Single Bty <1t/d,A7L1,Razor Energy Corp.,Active,Facility Licence,./0.png
ABBT0062160,Aog Etal Swan Hills 14-35,0HE9,Canadian Natural Resources Limited,"311",Crude Oil Single-Well Battery,"14753",F,"320",Oil Single Bty <1t/d,A7G2,Ridgeback Resources Inc.,Suspended,Facility Licence,./0.png
ABBT0076081,Samson Swan Hills 10-12,A7L1,Razor Energy Corp.,"311",Crude Oil Single-Well Battery,"14672",F,"321",Oil Multi Bty <1t/d,A7L1,Razor Energy Corp.,Suspended,Facility Licence,./0.png
ABBT0079843,Swan Hills 11-27-66-11w5m Gas Multi,A663,Trident Exploration (Alberta) Corp.,"361",Gas Multiwell Group Battery,"30119",F,"020",Gas Multi Bty <0.01,0HE9,Canadian Natural Resources Limited,Suspended,Facility Licence,./0.png
ABBT0081811,Acl Hm Swb 10(11)-15-070-11w5/3,A6A7,Cardinal Energy Ltd.,"311",Crude Oil Single-Well Battery,"38740",F,"320",Oil Single Bty <1t/d,A6A7,Cardinal Energy Ltd.,Active,Facility Licence,./0.png
ABBT0082093,Swan Hills 10-12-67-11w5,A7L1,Razor Energy Corp.,"322",Crude Oil Multiwell Proration Battery,"14672",F,"321",Oil Multi Bty <1t/d,A7L1,Razor Energy Corp.,Suspended,Facility Licence,./0.png
ABBT0111760,Pennwest Swan Hills,A7L1,Razor Energy Corp.,"321",Crude Oil Multiwell Group Battery,"42188",F,"350",Oil Satellite <1t/d,A7L1,Razor Energy Corp.,Suspended,Facility Licence,./0.png
ABBT0107820,Pennwest Swan Hills,A7L1,Razor Energy Corp.,"311",Crude Oil Single-Well Battery,"41101",F,"320",Oil Single Bty <1t/d,A7L1,Razor Energy Corp.,Active,Facility Licence,./0.png
ABBT0110946,Pengrowth House Mtn 4-30-69-10w5,A7N3,Acquisition Oil Corp.,"321",Crude Oil Multiwell Group Battery,"42107",F,"321",Oil Multi Bty <1t/d,A7N3,Acquisition Oil Corp.,Active,Facility Licence,./0.png
ABBT0124270,Pbn Et Al Swanh 8-16-69-9,A7G2,Ridgeback Resources Inc.,"311",Crude Oil Single-Well Battery,"45460",F,"321",Oil Multi Bty <1t/d,A7G2,Ridgeback Resources Inc.,Suspended,Facility Licence,./0.png
ABBT0129852,10-35 Proration Mwb,A7N3,Acquisition Oil Corp.,"322",Crude Oil Multiwell Proration Battery,"39105",F,"030",Oil Multi Bty <0.01,A7N3,Acquisition Oil Corp.,Active,Facility Licence,./0.png
ABBT0133367,Penn West Swan Hills 10-10 Oswb,A7L1,Razor Energy Corp.,"311",Crude Oil Single-Well Battery,"47399",F,"320",Oil Single Bty <1t/d,A7L1,Razor Energy Corp.,Suspended,Facility Licence,./0.png
ABBT0119584,Pennwest Swan Hills,A7L1,Razor Energy Corp.,"321",Crude Oil Multiwell Group Battery,"43746",F,"350",Oil Satellite <1t/d,A7L1,Razor Energy Corp.,Suspended,Facility Licence,./0.png
ABBT0121690,Cpec Swan Hills 3-36-67-11w5,A7N3,Acquisition Oil Corp.,"322",Crude Oil Multiwell Proration Battery,"44491",F,"030",Oil Multi Bty <0.01,A7N3,Acquisition Oil Corp.,Active,Facility Licence,./0.png
ABBT0122325,Cpec Swan Hills 14-09-069-10w5,A2J6,Crescent Point Energy Corp.,"322",Crude Oil Multiwell Proration Battery,"44640",F,"030",Oil Multi Bty <0.01,A7N3,Acquisition Oil Corp.,Suspended,Facility Licence,./0.png
ABBT0145308,Cpec Swanhills 14-09-069-10w5,A7N3,Acquisition Oil Corp.,"322",Crude Oil Multiwell Proration Battery,"44640",F,"030",Oil Multi Bty <0.01,A7N3,Acquisition Oil Corp.,Active,Facility Licence,./0.png
ABBT0125008,Pbn Hz Swanh 4-34-68-09w5,A7G2,Ridgeback Resources Inc.,"311",Crude Oil Single-Well Battery,"45602",F,"350",Oil Satellite <1t/d,A7G2,Ridgeback Resources Inc.,Suspended,Facility Licence,./0.png
ABBT0127103,Pbn Swanh 08-17-69-09w5 Mwob,A7G2,Ridgeback Resources Inc.,"322",Crude Oil Multiwell Proration Battery,"45460",F,"321",Oil Multi Bty <1t/d,A7G2,Ridgeback Resources Inc.,Active,Facility Licence,./0.png
ABBT0131305,Penn West Swan Hills 10-31 Oswb,A7L1,Razor Energy Corp.,"311",Crude Oil Single-Well Battery,"46937",F,"320",Oil Single Bty <1t/d,A7L1,Razor Energy Corp.,Active,Facility Licence,./0.png
ABBT0131730,Lts Deer Mtn 6-3-69-9w5 Mwob,A7G2,Ridgeback Resources Inc.,"322",Crude Oil Multiwell Proration Battery,"46973",F,"321",Oil Multi Bty <1t/d,A7G2,Ridgeback Resources Inc.,Active,Facility Licence,./0.png
ABBT0132020,Cpec Swanhills 14-09-069-10w5,A2J6,Crescent Point Energy Corp.,"321",Crude Oil Multiwell Group Battery,"44640",F,"030",Oil Multi Bty <0.01,A7N3,Acquisition Oil Corp.,Suspended,Facility Licence,./0.png
ABBT8870020,Swan Hills 10-19-68-8w5,A74X,Aspenleaf Energy Limited,"322",Crude Oil Multiwell Proration Battery,"14740",F,"030",Oil Multi Bty <0.01,A74X,Aspenleaf Energy Limited,Active,Facility Licence,./0.png
ABBT8870059,Pci Swan Hills 10-15,A7L1,Razor Energy Corp.,"311",Crude Oil Single-Well Battery,"38463",F,"320",Oil Single Bty <1t/d,A7L1,Razor Energy Corp.,Active,Facility Licence,./0.png
ABBT8870091,Colin Swan H Inverness 10-17,A7N3,Acquisition Oil Corp.,"322",Crude Oil Multiwell Proration Battery,"14760",F,"030",Oil Multi Bty <0.01,A7N3,Acquisition Oil Corp.,Active,Facility Licence,./0.png
ABBT8870123,Arcan Swanhills 3-32 Bty,A74X,Aspenleaf Energy Limited,"322",Crude Oil Multiwell Proration Battery,"14507",F,"030",Oil Multi Bty <0.01,A74X,Aspenleaf Energy Limited,Active,Facility Licence,./0.png
ABBT8870130,Swanhills 11-18-67-10w5 Bty #1,0HE9,Canadian Natural Resources Limited,"322",Crude Oil Multiwell Proration Battery,"14659",F,"421",Oil Multi Bty >=1t/d,0HE9,Canadian Natural Resources Limited,Active,Facility Licence,./0.png
ABBT8870138,Amoco Ap-1 Swanh 10-12,A7L1,Razor Energy Corp.,"322",Crude Oil Multiwell Proration Battery,"14672",F,"321",Oil Multi Bty <1t/d,A7L1,Razor Energy Corp.,Suspended,Facility Licence,./0.png
ABBT0141903,Acl House Mountain 12-12-070-11w5,A6A7,Cardinal Energy Ltd.,"321",Crude Oil Multiwell Group Battery,"49209",F,"321",Oil Multi Bty <1t/d,A6A7,Cardinal Energy Ltd.,Active,Facility Licence,./0.png
ABBT8870076,Pci Swan Hills Bty 10-32,A7L1,Razor Energy Corp.,"322",Crude Oil Multiwell Proration Battery,"14647",F,"421",Oil Multi Bty >=1t/d,A7L1,Razor Energy Corp.,Active,Facility Licence,./0.png
ABBT8870128,Shell Swan Hills Bty 4-9,A6A7,Cardinal Energy Ltd.,"322",Crude Oil Multiwell Proration Battery,"14996",F,"321",Oil Multi Bty <1t/d,A6A7,Cardinal Energy Ltd.,Active,Facility Licence,./0.png
ABBT8870134,Swan Hills 5-34-66-10w5,0HE9,Canadian Natural Resources Limited,"322",Crude Oil Multiwell Proration Battery,"14523",F,"421",Oil Multi Bty >=1t/d,0HE9,Canadian Natural Resources Limited,Active,Facility Licence,./0.png
ABBT8870140,Chauvco Swan Hills Unit 1,A7N3,Acquisition Oil Corp.,"322",Crude Oil Multiwell Proration Battery,"14860",F,"321",Oil Multi Bty <1t/d,A7N3,Acquisition Oil Corp.,Active,Facility Licence,./0.png
ABCS0014657,Pengrowth Corporation,0HE9,Canadian Natural Resources Limited,"601",Compressor Station,"14657",F,"440",Compressor Stn >=1t/d,0HE9,Canadian Natural Resources Limited,Active,Facility Licence,./0.png
ABBT0147139,Aspenleaf 04-25-67-09w5,A74X,Aspenleaf Energy Limited,"322",Crude Oil Multiwell Proration Battery,"50260",F,"030",Oil Multi Bty <0.01,A74X,Aspenleaf Energy Limited,Active,Facility Licence,./0.png
ABCS0021443,Pengrowth Corporation,0HE9,Canadian Natural Resources Limited,"601",Compressor Station,"21443",F,"340",Compressor Stn <1t/d,0HE9,Canadian Natural Resources Limited,Abandoned,Facility Licence,./0.png
ABBT0153339,Rbr Deer 01-36-068-09w5 Mwob,A7G2,Ridgeback Resources Inc.,"322",Crude Oil Multiwell Proration Battery,"43208",F,"030",Oil Multi Bty <0.01,A7G2,Ridgeback Resources Inc.,Active,Facility Licence,./0.png
ABCS0021680,Pengrowth Corporation,0HE9,Canadian Natural Resources Limited,"601",Compressor Station,"21680",F,"340",Compressor Stn <1t/d,0HE9,Canadian Natural Resources Limited,Abandoned,Facility Licence,./0.png
ABBT8870058,Samson Swan Hills Bty 2-36,A7L1,Razor Energy Corp.,"322",Crude Oil Multiwell Proration Battery,"14670",F,"321",Oil Multi Bty <1t/d,A7L1,Razor Energy Corp.,Active,Facility Licence,./0.png
ABBT8870120,Chauvco Swan Hills 4-6,A7N3,Acquisition Oil Corp.,"321",Crude Oil Multiwell Group Battery,"31666",F,"030",Oil Multi Bty <0.01,A7N3,Acquisition Oil Corp.,Active,Facility Licence,./0.png
ABBT8870141,Swan Hills 2-23-67-10w5,0HE9,Canadian Natural Resources Limited,"322",Crude Oil Multiwell Proration Battery,"14665",F,"421",Oil Multi Bty >=1t/d,0HE9,Canadian Natural Resources Limited,Active,Facility Licence,./0.png
ABBT8870029,Surat Swan Hills 12-23,A2PZ,KinMerc Oil & Gas Inc.,"322",Crude Oil Multiwell Proration Battery,"14673",F,"030",Oil Multi Bty <0.01,0ND1,Surat Energy Inc.,Suspended,Facility Licence,./0.png
ABBT8870060,Comaplex Swan Hills Bty 4-8,A7N3,Acquisition Oil Corp.,"322",Crude Oil Multiwell Proration Battery,"14755",F,"030",Oil Multi Bty <0.01,A7N3,Acquisition Oil Corp.,Active,Facility Licence,./0.png
ABBT8870112,Accel Deer Mountain #1 Bty 4-7,A7ND,ACCEL Canada Holdings Limited,"322",Crude Oil Multiwell Proration Battery,"14831",F,"321",Oil Multi Bty <1t/d,A7ND,ACCEL Canada Holdings Limited,Active,Facility Licence,./0.png
ABBT8870177,Pci Swan Hills 10-3,A7L1,Razor Energy Corp.,"311",Crude Oil Single-Well Battery,"38462",F,"320",Oil Single Bty <1t/d,A7L1,Razor Energy Corp.,Active,Facility Licence,./0.png
ABCT0000427,Cdn Crude Ct Plant,0NZ1,Tervita Corporation,"611",Custom Treating Facility,"14661",F,"080",Custom Treat <0.01,0NZ1,Tervita Corporation,Suspended,Facility Licence,./0.png
ABCS0014830,Conoco Canada Resources Limited,A5D4,Cenovus Energy Inc.,"601",Compressor Station,"14830",F,"040",Compressor Stn <0.01,A5K1,Cona Resources Ltd.,Suspended,Facility Licence,./0.png
ABGP0001479,Pengrowth Swan Hills,A7ND,ACCEL Canada Holdings Limited,"404",Gas Plant Acid Gas Injection,"14657",F,"440",Compressor Stn >=1t/d,0HE9,Canadian Natural Resources Limited,Suspended,Facility Licence,./0.png
ABGS0002534,Penn West Swan Hills,A7L1,Razor Energy Corp.,"621",Gas Gathering System,"14647",F,"421",Oil Multi Bty >=1t/d,A7L1,Razor Energy Corp.,Active,Facility Licence,./0.png
ABCS0021440,Pengrowth Corporation,0HE9,Canadian Natural Resources Limited,"601",Compressor Station,"21440",F,"340",Compressor Stn <1t/d,0HE9,Canadian Natural Resources Limited,Abandoned,Facility Licence,./0.png
ABIF0007571,Dekalb Swan Hills,A7L1,Razor Energy Corp.,"501",Enhanced Recovery Scheme,"14645",F,"090",Inj/Disp Water <0.01,A7L1,Razor Energy Corp.,Active,Facility Licence,./0.png
ABIF0007576,Enerplus Swan Hills,0AW4,Paramount Resources Ltd.,"501",Enhanced Recovery Scheme,"14769",F,"090",Inj/Disp Water <0.01,0AW4,Paramount Resources Ltd.,Suspended,Facility Licence,./0.png
ABIF0009870,Swan Hills Unit #1 Sf 12-16-67-10w5,0HE9,Canadian Natural Resources Limited,"501",Enhanced Recovery Scheme,"14655",F,"090",Inj/Disp Water <0.01,0HE9,Canadian Natural Resources Limited,Active,Facility Licence,./0.png
ABGP0001192,Swan Hills,A6A7,Cardinal Energy Ltd.,"402",Gas Plant Acid Gas Flaring < 1 T/D Sulphur,"14994",F,"300",Gas Plant <1t/d,A6A7,Cardinal Energy Ltd.,Active,Facility Licence,./0.png
ABGP0001423,Star Swan Hills,A7N3,Acquisition Oil Corp.,"401",Gas Plant Sweet,"31225",F,"300",Gas Plant <1t/d,A7N3,Acquisition Oil Corp.,Active,Facility Licence,./0.png
ABIF0007805,Ranchmen's Swan Hills Wf,A74X,Aspenleaf Energy Limited,"501",Enhanced Recovery Scheme,"14742",F,"090",Inj/Disp Water <0.01,A74X,Aspenleaf Energy Limited,Active,Facility Licence,./0.png
ABIF0140566,Lts Deer 4-2-69-9w5 Eor Gas Inj,A7G2,Ridgeback Resources Inc.,"501",Enhanced Recovery Scheme,"46973",F,"321",Oil Multi Bty <1t/d,A7G2,Ridgeback Resources Inc.,Active,Facility Licence,./0.png
ABIF0007892,Amoco Swan Hills A &b 124,A7L1,Razor Energy Corp.,"501",Enhanced Recovery Scheme,"14671",F,"090",Inj/Disp Water <0.01,0BP8,Obsidian Energy Ltd.,Suspended,Facility Licence,./0.png
ABIF0140629,100/04-21-068-10w5 Water Disp Well,A7N3,Acquisition Oil Corp.,"503",Disposal,"14760",F,"030",Oil Multi Bty <0.01,A7N3,Acquisition Oil Corp.,Active,Facility Licence,./0.png
ABIF0008408,Colgas Et Al Swan Hills 7-11,A7N3,Acquisition Oil Corp.,"501",Enhanced Recovery Scheme,"14854",F,"090",Inj/Disp Water <0.01,A7N3,Acquisition Oil Corp.,Suspended,Facility Licence,./0.png
ABIF0127081,Cp Swanhills 02-15-068-11w5 Wd,A2J6,Crescent Point Energy Corp.,"503",Disposal,"46010",F,"090",Inj/Disp Water <0.01,A7N3,Acquisition Oil Corp.,Active,Facility Licence,./0.png
ABGS0006413,Vintage Genisis Swan Hills 10-20,A2PZ,KinMerc Oil & Gas Inc.,"621",Gas Gathering System,"26903",F,"020",Gas Multi Bty <0.01,A2PZ,KinMerc Oil & Gas Inc.,Abandoned,Facility Licence,./0.png
ABIF0151386,Swan Hills Unit #1 Sf 12-16-67-10w5,0HE9,Canadian Natural Resources Limited,"503",Disposal,"14655",F,"090",Inj/Disp Water <0.01,0HE9,Canadian Natural Resources Limited,Active,Facility Licence,./0.png
ABGS0079801,Swan Hills Ggs 11-27-66-11w5m,A663,Trident Exploration (Alberta) Corp.,"621",Gas Gathering System,"30119",F,"020",Gas Multi Bty <0.01,0HE9,Canadian Natural Resources Limited,Suspended,Facility Licence,./0.png
ABIF0007435,Arcan  Morse River Unit #1,A74X,Aspenleaf Energy Limited,"501",Enhanced Recovery Scheme,"14509",F,"090",Inj/Disp Water <0.01,A74X,Aspenleaf Energy Limited,Active,Facility Licence,./0.png
ABIF0081739,11-27-66-11 Water Injection,A663,Trident Exploration (Alberta) Corp.,"503",Disposal,"30119",F,"020",Gas Multi Bty <0.01,0HE9,Canadian Natural Resources Limited,Suspended,Facility Licence,./0.png
ABIF0007344,Neutrino Swan Hills,A7N3,Acquisition Oil Corp.,"501",Enhanced Recovery Scheme,"14754",F,"090",Inj/Disp Water <0.01,A7N3,Acquisition Oil Corp.,Suspended,Facility Licence,./0.png
ABIF0140630,100/12-22-069-10w5 Water Disp Well,A7N3,Acquisition Oil Corp.,"503",Disposal,"14860",F,"321",Oil Multi Bty <1t/d,A7N3,Acquisition Oil Corp.,Active,Facility Licence,./0.png
ABIF0156400,Rbr Deer Deer 06-03-069-09w5 Eor,A7G2,Ridgeback Resources Inc.,"501",Enhanced Recovery Scheme,"51930",F,"091",Inj/Disp EOR <0.01,A7G2,Ridgeback Resources Inc.,Active,Facility Licence,./0.png
ABIF0140183,Lts Deer 102/12-10-69-9w5 Eor,A7G2,Ridgeback Resources Inc.,"501",Enhanced Recovery Scheme,"49067",F,"091",Inj/Disp EOR <0.01,A7G2,Ridgeback Resources Inc.,Active,Facility Licence,./0.png
ABBT0040141,Cnw Swan Hills 16-27,A7N3,Acquisition Oil Corp.,"311",Crude Oil Single-Well Battery,"0138789",W,,,A7N3,Acquisition Oil Corp.,Active,Well Licence,./0.png
ABBT0040194,Surat Swan Hills 11-23,A7G2,Ridgeback Resources Inc.,"311",Crude Oil Single-Well Battery,"0139467",W,,,A7G2,Ridgeback Resources Inc.,Suspended,Well Licence,./0.png
ABBT0041371,Ammin Pcp Adams 16-5,A2PZ,KinMerc Oil & Gas Inc.,"311",Crude Oil Single-Well Battery,"0142673",W,,,A2PZ,KinMerc Oil & Gas Inc.,Active,Well Licence,./0.png
ABBT0045455,Accel Energy Swan H,A7ND,ACCEL Canada Holdings Limited,"311",Crude Oil Single-Well Battery,"0153341",W,,,A7ND,ACCEL Canada Holdings Limited,Active,Well Licence,./0.png
ABBT0046887,Colin Swan H 12-1,A7ND,ACCEL Canada Holdings Limited,"311",Crude Oil Single-Well Battery,"0025678",W,,,A7ND,ACCEL Canada Holdings Limited,Suspended,Well Licence,./0.png
ABBT0044667,Home Swan Hills 2-5-68-10 Battery,0HE9,Canadian Natural Resources Limited,"311",Crude Oil Single-Well Battery,"0021390",W,,,0HE9,Canadian Natural Resources Limited,Suspended,Well Licence,./0.png
ABBT0045714,Surat Swan Hills 2-5,A2PZ,KinMerc Oil & Gas Inc.,"311",Crude Oil Single-Well Battery,"0067340",W,,,A2PZ,KinMerc Oil & Gas Inc.,Active,Well Licence,./0.png
ABBT0047661,Colin Et Al Swan Hills,A7G2,Ridgeback Resources Inc.,"311",Crude Oil Single-Well Battery,"0070994",W,,,A7G2,Ridgeback Resources Inc.,Active,Well Licence,./0.png
ABBT0047660,Colin Et Al Swan Hills,A7G2,Ridgeback Resources Inc.,"311",Crude Oil Single-Well Battery,"0071660",W,,,A7G2,Ridgeback Resources Inc.,Suspended,Well Licence,./0.png
ABBT0049916,Colin Et Al Deer Mtn 07-13,0LP5,International Colin Energy Corporation,"311",Crude Oil Single-Well Battery,"0153674",W,,,A7ND,ACCEL Canada Holdings Limited,Suspended,Well Licence,./0.png
ABBT0061820,Berkley House Mountain 1-23,A2PZ,KinMerc Oil & Gas Inc.,"311",Crude Oil Single-Well Battery,"0231866",W,,,A2PZ,KinMerc Oil & Gas Inc.,Active,Well Licence,./0.png
ABBT0066791,Apache House Mountain,0AW4,Paramount Resources Ltd.,"311",Crude Oil Single-Well Battery,"0082191",W,"280",Single Well <0.01,A6A7,Cardinal Energy Ltd.,Suspended,Well Licence,./0.png
ABBT0068255,Apache House Mountain Swan Hills 12-,0AW4,Paramount Resources Ltd.,"311",Crude Oil Single-Well Battery,"0027795",W,,,A6A7,Cardinal Energy Ltd.,Suspended,Well Licence,./0.png
ABBT0068630,Star Oil And Gas Inverness Swan Hill,A7N3,Acquisition Oil Corp.,"311",Crude Oil Single-Well Battery,"0022048",W,,,A7N3,Acquisition Oil Corp.,Active,Well Licence,./0.png
ABBT0062384,Berkley Et Al Swan Hills 10-26,A2PZ,KinMerc Oil & Gas Inc.,"311",Crude Oil Single-Well Battery,"0131878",W,,,A2PZ,KinMerc Oil & Gas Inc.,Active,Well Licence,./0.png
ABBT0066961,Apache House Mountain 12-33,0AW4,Paramount Resources Ltd.,"311",Crude Oil Single-Well Battery,"0028138",W,,,A6A7,Cardinal Energy Ltd.,Suspended,Well Licence,./0.png
ABBT0067072,Devon Swan Hills 07-24,0HE9,Canadian Natural Resources Limited,"351",Gas Single-Well Battery,"0254541",W,"140",Single Well 0.00,0HE9,Canadian Natural Resources Limited,Suspended,Well Licence,./0.png
ABBT0064056,Inverness 2-28,A7N3,Acquisition Oil Corp.,"311",Crude Oil Single-Well Battery,"0023896",W,,,A7N3,Acquisition Oil Corp.,Suspended,Well Licence,./0.png
ABBT0064619,Swan Hills 4-27,A7L1,Razor Energy Corp.,"351",Gas Single-Well Battery,"0024752",W,,,A7L1,Razor Energy Corp.,Suspended,Well Licence,./0.png
ABBT0067000,Apache House Mountain 13-32,0AW4,Paramount Resources Ltd.,"341",Crude Bitumen Multiwell Group Battery,"0028926",W,,,A6A7,Cardinal Energy Ltd.,Suspended,Well Licence,./0.png
